expense_id,department,category,amount,expense_date,approval_status,payment_method,budget_allocated,budget_used,vendor_name,expense_priority
EXP0001,Operations,Marketing Campaign,43931,2026-04-30,Approved,Cash,99113,89647,LinkedIn,Low
EXP0002,HR,Training,5062,2026-01-28,Rejected,Bank Transfer,297470,103058,Dell,Low
EXP0003,Engineering,Maintenance,32577,2025-12-09,Rejected,Bank Transfer,212198,62305,HP,High
EXP0004,Operations,Travel,36194,2025-02-14,Approved,UPI,143360,66144,Zoho,Low
EXP0005,Sales,Training,31707,2024-08-31,Approved,Cash,188952,121703,Oracle,High
EXP0006,HR,Cloud Services,25568,2026-08-13,Rejected,Bank Transfer,367693,299358,Amazon AWS,Medium
EXP0007,Marketing,Training,9711,2025-08-27,Approved,Bank Transfer,408712,71607,LinkedIn,High
EXP0008,Operations,Training,4630,2024-10-28,Rejected,Credit Card,205600,186391,LinkedIn,Medium
EXP0009,Marketing,Marketing Campaign,92993,2026-03-23,Approved,Credit Card,68885,64075,LinkedIn,Critical
EXP0010,Marketing,Recruitment,58682,2025-02-15,Approved,Cash,381096,57024,Meta,High
EXP0011,Finance,Office Supplies,39054,2026-04-05,Approved,Bank Transfer,429304,133337,Zoho,Critical
EXP0012,Sales,Hardware,42315,2025-01-14,Approved,Cash,173894,13793,Amazon AWS,Critical
EXP0013,Engineering,Maintenance,90395,2026-01-15,Rejected,Credit Card,320694,108503,Google,Medium
EXP0014,Marketing,Recruitment,28204,2025-02-14,Pending,UPI,268554,3047,HP,Medium
EXP0015,Marketing,Recruitment,34995,2025-08-24,Approved,Cash,226772,193128,Oracle,Low
EXP0016,IT,Marketing Campaign,60161,2025-06-20,Rejected,Credit Card,317671,143872,Dell,High
EXP0017,Data Science,Marketing Campaign,53760,2026-01-22,Approved,Bank Transfer,370989,149956,Adobe,Medium
EXP0018,Finance,Software License,43278,2025-03-15,Pending,UPI,468494,259674,Oracle,Critical
EXP0019,Finance,Hardware,45700,2024-10-30,Pending,Credit Card,363428,71945,Dell,Low
EXP0020,Finance,Marketing Campaign,83688,2025-12-13,Approved,Credit Card,244442,191197,LinkedIn,High
EXP0021,HR,Travel,62502,2025-02-05,Rejected,Credit Card,104539,95230,Dell,High
EXP0022,Operations,Cloud Services,73438,2026-08-02,Rejected,Credit Card,60057,53229,Zoho,High
EXP0023,Operations,Marketing Campaign,82977,2025-03-17,Pending,UPI,344683,291511,HP,Medium
EXP0024,Data Science,Travel,95290,2025-09-19,Approved,UPI,374141,24095,LinkedIn,Low
EXP0025,HR,Maintenance,56665,2025-08-12,Rejected,Bank Transfer,303652,297985,Zoho,Low
EXP0026,IT,Office Supplies,2074,2025-11-09,Rejected,Credit Card,262479,41701,Oracle,Medium
EXP0027,Engineering,Marketing Campaign,21778,2026-03-02,Pending,Cash,304825,180099,Oracle,Critical
EXP0028,Marketing,Office Supplies,39952,2026-01-17,Approved,Cash,202100,91800,LinkedIn,Critical
EXP0029,Finance,Travel,62656,2026-01-01,Approved,Cash,298473,160973,HP,Critical
EXP0030,HR,Recruitment,23107,2024-11-04,Pending,Bank Transfer,95072,16862,Dell,Medium
EXP0031,Data Science,Cloud Services,9808,2025-04-30,Pending,Bank Transfer,235632,113297,Amazon AWS,Low
EXP0032,Finance,Consulting,57706,2025-02-23,Approved,Cash,391752,62485,Microsoft,Low
EXP0033,HR,Maintenance,31028,2026-02-18,Rejected,Bank Transfer,313648,196374,Google,Low
EXP0034,HR,Maintenance,19817,2026-05-10,Pending,Bank Transfer,381538,22868,LinkedIn,Critical
EXP0035,Marketing,Marketing Campaign,60576,2024-12-06,Pending,Credit Card,141701,27807,LinkedIn,High
EXP0036,Data Science,Training,40542,2026-07-20,Rejected,Bank Transfer,467440,326977,Meta,Critical
EXP0037,Marketing,Hardware,68124,2026-08-19,Rejected,Bank Transfer,101466,69144,LinkedIn,High
EXP0038,Data Science,Hardware,56125,2024-09-17,Rejected,Bank Transfer,481192,69669,Zoho,Critical
EXP0039,Engineering,Office Supplies,8156,2025-06-21,Approved,Credit Card,440833,254205,LinkedIn,Critical
EXP0040,Operations,Hardware,39613,2025-08-01,Rejected,Bank Transfer,199409,15016,Adobe,Medium
EXP0041,Data Science,Travel,15703,2025-06-06,Approved,Cash,262871,77221,Zoho,High
EXP0042,Finance,Cloud Services,59380,2026-07-13,Pending,Credit Card,210498,28990,Dell,Low
EXP0043,Data Science,Office Supplies,71368,2026-05-22,Approved,Bank Transfer,107755,5801,Amazon AWS,Low
EXP0044,Data Science,Maintenance,12648,2025-04-13,Rejected,Bank Transfer,103192,13377,Google,High
EXP0045,Sales,Consulting,62801,2025-11-04,Rejected,Credit Card,294488,64095,Google,Critical
EXP0046,Finance,Marketing Campaign,72117,2025-12-30,Approved,UPI,455799,149073,Adobe,High
EXP0047,Finance,Training,82111,2025-02-19,Rejected,Bank Transfer,224222,221808,Adobe,High
EXP0048,Marketing,Hardware,67056,2025-03-13,Approved,UPI,435393,35776,Google,High
EXP0049,Data Science,Hardware,30939,2026-05-12,Rejected,Bank Transfer,222877,124324,Microsoft,Low
EXP0050,Marketing,Software License,52264,2025-02-23,Pending,Bank Transfer,468947,430754,Adobe,Medium
EXP0051,HR,Cloud Services,14466,2025-10-02,Approved,Credit Card,166567,29508,Amazon AWS,Medium
EXP0052,IT,Marketing Campaign,2434,2025-04-25,Approved,UPI,414530,154190,Amazon AWS,Critical
EXP0053,Marketing,Marketing Campaign,77819,2024-09-08,Pending,Cash,176782,59731,Adobe,High
EXP0054,Data Science,Training,80254,2026-06-27,Approved,UPI,469455,10591,Adobe,Low
EXP0055,Finance,Consulting,9175,2025-03-29,Rejected,Credit Card,202875,53792,Google,High
EXP0056,Finance,Office Supplies,75371,2026-05-29,Pending,UPI,163821,31397,Zoho,Critical
EXP0057,IT,Cloud Services,13926,2025-11-03,Pending,Credit Card,56721,13009,HP,Critical
EXP0058,Engineering,Maintenance,86240,2025-04-19,Rejected,Bank Transfer,401917,128559,Adobe,Medium
EXP0059,HR,Travel,4297,2025-01-13,Pending,UPI,371525,124507,Microsoft,Medium
EXP0060,HR,Consulting,3539,2026-02-08,Rejected,Cash,258393,76613,Zoho,Critical
EXP0061,Engineering,Cloud Services,13034,2025-06-17,Approved,UPI,189328,16907,LinkedIn,Critical
EXP0062,Finance,Maintenance,8671,2026-06-30,Approved,Cash,361087,210884,Meta,High
EXP0063,Marketing,Marketing Campaign,47882,2025-03-05,Pending,Credit Card,340969,282996,Adobe,High
EXP0064,Sales,Cloud Services,99634,2026-08-10,Rejected,Bank Transfer,405793,61200,Amazon AWS,High
EXP0065,Operations,Maintenance,24405,2024-09-13,Pending,UPI,111383,27882,HP,Critical
EXP0066,IT,Hardware,35034,2026-01-14,Pending,UPI,157561,146011,Meta,Low
EXP0067,Engineering,Recruitment,34298,2026-04-04,Approved,Bank Transfer,334056,329086,Amazon AWS,Critical
EXP0068,Operations,Software License,28954,2026-08-06,Approved,Cash,447740,346999,Zoho,High
EXP0069,HR,Travel,90477,2025-08-28,Rejected,UPI,278206,84639,Zoho,Low
EXP0070,Operations,Recruitment,46073,2024-11-24,Approved,Credit Card,347887,9284,Adobe,High
EXP0071,Sales,Consulting,43024,2026-07-16,Rejected,Bank Transfer,490209,419472,Amazon AWS,Low
EXP0072,Finance,Office Supplies,15640,2026-05-11,Rejected,UPI,441106,14531,Amazon AWS,High
EXP0073,HR,Travel,2403,2025-12-16,Rejected,UPI,236516,24513,Adobe,Low
EXP0074,Engineering,Recruitment,78135,2026-04-06,Approved,Cash,204727,103520,Adobe,High
EXP0075,Data Science,Office Supplies,13874,2026-03-31,Approved,Cash,138054,89879,Microsoft,Medium
EXP0076,Engineering,Consulting,93898,2025-07-09,Approved,UPI,386359,246934,Dell,Medium
EXP0077,Operations,Training,80535,2025-08-10,Pending,UPI,172098,62854,LinkedIn,High
EXP0078,Marketing,Recruitment,52734,2025-04-12,Pending,Bank Transfer,408919,50956,Oracle,Medium
EXP0079,Sales,Software License,50105,2025-07-27,Approved,Credit Card,269319,18079,Dell,Critical
EXP0080,Sales,Travel,78539,2026-03-08,Rejected,UPI,387460,66271,Microsoft,Low
EXP0081,Sales,Consulting,74340,2025-08-29,Approved,Cash,345560,61631,Google,Medium
