project_id,project_name,description,client_name,project_manager_id,department,start_date,planned_end_date,actual_end_date,status,priority,progress_percentage,budget,team_size,created_date
P00001,HR Automation System,HR Automation System project for ABC Retail,ABC Retail,EMP112,Finance,2026-06-25,2026-09-07,,In Progress,Medium,74,2455000,12,2026-05-06
P00002,Employee Payroll System,Employee Payroll System project for SecureNet,SecureNet,EMP118,AI Development,2026-03-21,2027-03-06,,In Progress,Low,86,2060000,16,2026-02-19
P00003,Data Warehouse Development,Data Warehouse Development project for ServicePro,ServicePro,EMP144,Marketing,2025-05-05,2025-12-03,,On Hold,Low,47,1930000,6,2025-03-24
P00004,Supply Chain Analytics,Supply Chain Analytics project for SecureNet,SecureNet,EMP106,Data Engineering,2026-08-21,2027-08-17,,Planning,Low,8,385000,11,2026-07-27
P00005,Supply Chain Analytics,Supply Chain Analytics project for EduTech,EduTech,EMP106,AI Development,2026-08-19,2027-02-12,,Planning,Critical,0,1430000,9,2026-07-20
P00006,Social Media Analytics,Social Media Analytics project for ServicePro,ServicePro,EMP116,Security,2025-01-25,2025-12-02,,In Progress,High,64,1945000,19,2024-12-28
P00007,HR Automation System,HR Automation System project for MarketPlus,MarketPlus,EMP131,IT Infrastructure,2025-01-16,2025-06-15,,In Progress,Medium,88,1735000,19,2024-12-10
P00008,Data Warehouse Development,Data Warehouse Development project for ABC Retail,ABC Retail,EMP141,Operations,2025-05-27,2025-11-30,2025-12-13,Completed,Medium,100,1525000,17,2025-05-07
P00009,Customer Support Chatbot,Customer Support Chatbot project for SecureNet,SecureNet,EMP129,Customer Success,2026-04-22,2026-09-24,,In Progress,High,26,2320000,6,2026-04-06
P00010,HR Automation System,HR Automation System project for MedCare Hospitals,MedCare Hospitals,EMP125,Development,2025-12-25,2026-08-02,2026-07-13,Completed,Medium,100,1510000,4,2025-12-08
P00011,Cloud Migration Project,Cloud Migration Project project for ABC Corporation,ABC Corporation,EMP144,Data Engineering,2025-11-04,2026-02-28,2026-03-20,Completed,Medium,100,2135000,12,2025-09-27
P00012,AI Demand Forecasting,AI Demand Forecasting project for Global Traders,Global Traders,EMP109,Analytics,2025-09-07,2026-04-01,,In Progress,Medium,34,2245000,15,2025-08-04
P00013,Cybersecurity Upgrade,Cybersecurity Upgrade project for ABC Corporation,ABC Corporation,EMP146,Data Engineering,2025-10-15,2026-08-24,2026-09-12,Completed,High,100,2020000,17,2025-08-18
P00014,Employee Payroll System,Employee Payroll System project for ABC Corporation,ABC Corporation,EMP116,Security,2026-01-18,2026-04-22,,Planning,Low,11,585000,17,2025-12-04
P00015,Cybersecurity Upgrade,Cybersecurity Upgrade project for ServicePro,ServicePro,EMP114,Data Engineering,2025-02-08,2025-12-03,,In Progress,High,58,1995000,7,2025-01-21
P00016,Employee Payroll System,Employee Payroll System project for RetailAnalytics,RetailAnalytics,EMP148,Data Engineering,2025-12-18,2026-11-01,,In Progress,High,49,2020000,9,2025-12-03
P00017,Cloud Migration Project,Cloud Migration Project project for FinanceCorp,FinanceCorp,EMP133,Sales,2025-05-13,2025-07-08,,In Progress,Medium,26,1765000,19,2025-04-28
P00018,Mobile Banking Application,Mobile Banking Application project for Global Traders,Global Traders,EMP122,Data Engineering,2026-04-18,2027-01-04,,Planning,Low,10,1085000,15,2026-03-29
P00019,Warehouse Automation,Warehouse Automation project for CloudWorks,CloudWorks,EMP117,Sales,2025-04-28,2025-11-14,,In Progress,Medium,55,900000,20,2025-03-13
P00020,Marketing Analytics Platform,Marketing Analytics Platform project for MedCare Hospitals,MedCare Hospitals,EMP123,Healthcare IT,2025-02-12,2025-10-19,,In Progress,Medium,29,1715000,6,2025-01-02
P00021,Cloud Migration Project,Cloud Migration Project project for MarketPlus,MarketPlus,EMP140,Operations,2025-09-18,2026-02-04,,In Progress,Medium,64,1890000,7,2025-08-29
P00022,Employee Training Portal,Employee Training Portal project for SecureNet,SecureNet,EMP108,AI Development,2025-09-22,2026-01-15,,In Progress,High,85,2320000,14,2025-08-12
P00023,Inventory Management System,Inventory Management System project for XYZ Technologies,XYZ Technologies,EMP109,IT Infrastructure,2025-11-08,2026-03-24,,In Progress,Medium,22,1020000,11,2025-10-23
P00024,Document Management System,Document Management System project for CloudWorks,CloudWorks,EMP116,Marketing,2026-06-01,2026-09-03,,On Hold,Low,15,900000,20,2026-05-23
P00025,Employee Payroll System,Employee Payroll System project for ABC Retail,ABC Retail,EMP125,Human Resources,2026-02-24,2026-08-17,,Planning,Medium,11,1920000,3,2026-01-28
P00026,CRM Implementation,CRM Implementation project for ABC Retail,ABC Retail,EMP141,Operations,2025-08-06,2026-06-26,,On Hold,Medium,61,2450000,14,2025-07-28
P00027,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,XYZ Technologies,EMP111,Customer Success,2026-03-12,2026-12-31,2027-01-19,Completed,Critical,100,905000,20,2026-01-22
P00028,Warehouse Automation,Warehouse Automation project for Global Traders,Global Traders,EMP140,Security,2025-10-30,2026-02-09,,In Progress,Medium,23,865000,12,2025-09-28
P00029,Cloud Migration Project,Cloud Migration Project project for MedCare Hospitals,MedCare Hospitals,EMP146,Security,2025-05-15,2025-12-24,,In Progress,Medium,91,2260000,5,2025-04-06
P00030,Supply Chain Analytics,Supply Chain Analytics project for OfficePro,OfficePro,EMP122,Operations,2025-01-13,2025-03-22,2025-05-29,Delayed,High,53,845000,4,2024-11-23
P00031,Marketing Analytics Platform,Marketing Analytics Platform project for OfficePro,OfficePro,EMP149,Development,2025-01-03,2025-03-08,2025-05-25,Delayed,Medium,27,1185000,10,2024-11-20
P00032,Customer Support Chatbot,Customer Support Chatbot project for FinTech Solutions,FinTech Solutions,EMP145,Finance,2025-05-15,2026-01-15,2026-01-01,Completed,Medium,100,2480000,16,2025-04-28
P00033,HR Automation System,HR Automation System project for RetailAnalytics,RetailAnalytics,EMP140,Sales,2026-05-07,2026-09-25,2026-09-06,Completed,High,100,2050000,15,2026-04-11
P00034,Online Learning Platform,Online Learning Platform project for SalesPro,SalesPro,EMP120,Marketing,2025-10-06,2026-07-03,,In Progress,High,51,810000,4,2025-08-08
P00035,Social Media Analytics,Social Media Analytics project for EduTech,EduTech,EMP116,Security,2025-09-29,2026-01-01,,Planning,High,9,2395000,14,2025-08-29
P00036,HR Automation System,HR Automation System project for PeopleFirst,PeopleFirst,EMP144,Analytics,2025-08-28,2025-11-19,,On Hold,Low,35,2150000,19,2025-06-30
