task_id,task_name,project_id,assigned_employee,deadline,progress,status
T001,UI Design,P041,EMP008,2026-11-27,43,In Progress
T002,Login Module,P009,EMP048,2026-11-19,98,Completed
T003,Deployment,P006,EMP038,2026-08-29,3,Not Started
T004,Integration Testing,P015,EMP033,2026-08-28,84,In Progress
T005,Security Testing,P027,EMP015,2026-11-08,15,In Progress
T006,Deployment,P049,EMP011,2026-10-07,42,In Progress
T007,Login Module,P049,EMP022,2026-09-05,60,In Progress
T008,Data Analysis,P023,EMP039,2026-12-06,7,Not Started
T009,Documentation,P035,EMP008,2026-09-04,61,In Progress
T010,API Development,P037,EMP013,2026-08-30,94,Completed
T011,Login Module,P006,EMP015,2026-10-12,61,In Progress
T012,Bug Fixing,P011,EMP024,2026-09-20,100,Completed
T013,Integration Testing,P042,EMP005,2026-11-14,46,In Progress
T014,Documentation,P011,EMP030,2026-09-28,40,Cancelled
T015,Backend Development,P045,EMP036,2026-11-20,22,In Progress
T016,Testing,P015,EMP003,2026-10-15,42,In Progress
T017,Testing,P037,EMP046,2026-09-21,96,Completed
T018,Registration Module,P042,EMP030,2026-09-27,8,Not Started
T019,System Design,P035,EMP017,2026-10-18,35,On Hold
T020,Registration Module,P024,EMP015,2026-10-29,21,In Progress
T021,Dashboard Development,P008,EMP010,2026-12-04,99,Completed
T022,Documentation,P005,EMP025,2026-11-09,33,Cancelled
T023,UI Design,P017,EMP036,2026-11-20,100,Completed
T024,Data Analysis,P035,EMP049,2026-12-01,91,Completed
T025,Dashboard Development,P019,EMP028,2026-10-22,4,Not Started
T026,Dashboard Development,P033,EMP049,2026-10-28,65,On Hold
T027,User Acceptance Testing,P041,EMP020,2026-11-10,62,In Progress
T028,Requirements Analysis,P049,EMP011,2026-12-02,68,On Hold
T029,Testing,P001,EMP039,2026-10-26,5,Not Started
T030,Database Design,P020,EMP016,2026-09-24,70,On Hold
T031,Performance Testing,P006,EMP006,2026-12-07,8,Not Started
T032,Registration Module,P050,EMP009,2026-11-17,85,In Progress
T033,User Acceptance Testing,P011,EMP017,2026-12-14,93,Completed
T034,Frontend Development,P035,EMP049,2026-11-24,62,In Progress
T035,Security Testing,P029,EMP034,2026-09-09,23,In Progress
T036,System Design,P022,EMP002,2026-11-03,43,In Progress
T037,Database Design,P001,EMP005,2026-09-23,0,Not Started
T038,User Acceptance Testing,P022,EMP005,2026-09-24,77,In Progress
T039,Registration Module,P014,EMP035,2026-11-25,46,On Hold
T040,Backend Development,P037,EMP031,2026-12-03,67,In Progress
T041,Login Module,P013,EMP007,2026-11-17,69,In Progress
T042,Database Design,P027,EMP030,2026-11-19,100,Completed
T043,Documentation,P007,EMP004,2026-11-26,28,In Progress
T044,Frontend Development,P016,EMP013,2026-11-01,69,In Progress
T045,Security Testing,P012,EMP018,2026-09-25,14,On Hold
T046,Login Module,P029,EMP036,2026-08-31,98,Completed
