total_tasks,avg_progress,avg_estimated_hours,total_estimated_hours,avg_hours_logged,total_hours_logged,hours_efficiency,project_duration_days,completed_task_count,in_progress_task_count,on_hold_task_count,not_started_task_count,cancelled_task_count,avg_allocation_score,avg_workload,avg_experience,avg_performance,avg_task_duration_days,risk_level,status
12,12.83,11.34,149.65,8.66,103.96,0.69,90,2,3,4,3,0,0.60,96.78,2.12,3.88,7.50,High,Delayed
11,10.00,31.82,338.20,29.12,320.27,0.95,55,1,2,1,6,1,0.62,73.43,9.28,3.52,5.00,Low,Planning
6,27.45,22.47,123.81,17.55,105.30,0.85,100,1,0,4,1,0,0.67,64.14,1.30,3.47,16.67,Critical,On Hold
11,47.56,13.70,169.11,9.03,99.36,0.59,130,4,5,0,2,0,0.80,72.55,6.36,3.10,11.82,Low,In Progress
7,93.22,14.10,80.18,14.69,102.82,1.28,69,4,1,1,1,0,0.77,67.85,5.75,4.53,9.86,Low,Completed
10,90.72,32.10,311.93,37.54,375.37,1.20,63,7,0,1,1,1,0.71,53.90,7.44,4.66,6.30,Low,Completed
11,92.79,11.33,136.64,10.81,118.86,0.87,62,7,1,1,1,1,0.88,70.13,9.90,4.60,5.64,Medium,Completed
8,6.28,21.00,161.00,13.33,106.66,0.66,103,1,1,0,5,1,0.56,60.66,2.63,3.87,12.88,Low,Planning
7,55.89,34.16,232.78,24.04,168.28,0.72,46,3,3,0,1,0,0.51,80.77,4.11,4.16,6.57,Medium,In Progress
9,46.84,32.44,277.52,30.73,276.56,1.00,108,1,1,4,2,1,0.74,70.63,1.20,3.40,12.00,Critical,On Hold
9,96.52,24.82,210.27,24.37,219.31,1.04,40,6,1,1,1,0,0.83,70.38,5.48,4.07,4.44,Low,Completed
10,14.50,16.44,155.04,14.68,146.77,0.95,41,1,2,1,5,1,0.65,74.33,8.54,3.61,4.10,Medium,Planning
6,22.05,38.68,219.43,24.60,147.62,0.67,75,1,0,3,2,0,0.75,70.93,9.24,4.08,12.50,Critical,On Hold
10,92.56,37.98,389.09,36.63,366.30,0.94,65,6,1,1,1,1,0.74,71.04,8.62,4.96,6.50,Low,Completed
5,91.94,23.18,109.65,23.30,116.51,1.06,30,4,1,0,0,0,0.87,60.87,3.22,4.82,6.00,Medium,Completed
8,86.92,11.30,82.98,12.91,103.25,1.24,78,4,1,1,1,1,0.94,61.15,2.67,4.54,9.75,Medium,Completed
12,10.99,36.91,448.76,25.00,299.96,0.67,115,2,2,5,2,1,0.51,98.50,2.63,3.35,9.58,Medium,Delayed
10,58.65,38.22,381.13,36.11,361.08,0.95,83,3,4,2,1,0,0.66,76.11,6.85,3.55,8.30,High,In Progress
7,54.46,30.28,205.56,26.95,188.63,0.92,83,2,3,1,1,0,0.66,79.77,3.87,3.94,11.86,Low,In Progress
14,10.24,24.93,366.53,17.93,251.08,0.69,128,2,3,5,3,1,0.32,81.77,1.34,3.22,9.14,Critical,Delayed
14,52.01,22.95,313.24,21.60,302.44,0.97,62,4,6,2,2,0,0.51,60.45,9.89,3.64,4.43,Medium,In Progress
12,97.31,33.54,392.79,36.10,433.24,1.10,68,8,1,1,1,1,0.94,61.69,6.52,4.17,5.67,High,Completed
12,30.66,15.38,171.64,7.51,90.11,0.52,92,2,2,5,2,1,0.54,92.60,2.95,3.28,7.67,Critical,Delayed
5,13.85,16.33,82.25,9.74,48.69,0.59,106,0,1,2,1,1,0.54,84.49,3.01,3.31,21.20,Critical,Delayed
10,70.86,16.73,166.41,10.34,103.38,0.62,142,3,4,2,1,0,0.74,76.38,5.96,3.13,14.20,High,In Progress
10,49.74,10.59,94.74,9.25,92.51,0.98,118,1,2,4,2,1,0.52,82.07,5.64,4.36,11.80,Critical,On Hold
12,97.14,24.68,310.89,24.03,288.34,0.93,88,8,1,1,1,1,0.88,70.93,7.28,4.68,7.33,Medium,Completed
11,69.60,35.90,376.06,33.40,367.38,0.98,54,4,3,2,2,0,0.57,82.72,1.01,3.83,4.91,Low,In Progress
12,69.56,28.22,329.01,24.09,289.04,0.88,132,4,5,1,1,1,0.54,67.08,1.17,3.65,11.00,Low,In Progress
8,98.26,11.28,107.73,12.48,99.84,0.93,79,5,1,1,1,0,0.74,69.27,7.38,4.47,9.88,Low,Completed
13,54.71,27.02,346.61,16.92,219.98,0.63,77,3,5,2,2,1,0.65,79.26,7.15,3.67,5.92,Medium,In Progress
9,96.76,13.24,130.92,14.67,132.00,1.01,81,7,0,1,1,0,0.89,55.75,2.18,4.87,9.00,High,Completed
